Kooli ID	Kooli nimi	Maakond	Asutuse tüüp	Seadmete nimekiri	Toetus 2014	Toetus 2015	Toetus 2016	Toetus 2017	Toetus 2018	Toetus 2019	Toetus 2020	Toetus 2021
704	Kuressaare Gümnaasium	Saare maakond	gümnaasium	LEGO Mindstorm EV3 baaskomplektid (6 tk) ja lisakomplektid (4 tk), LEGO WeDo baaskomplektid (6 tk) ja lisakomplektid (6 tk). LEGO Mindstorms EV3 baaskomplekt (6 tk), EV3 lisakomplekt (3 tk), LME,EV3, Ultrasonic sensor (2 tk), LME, EV3, Color/Light Sensor (11 tk), Transformer 10V DC (2 tk), LEGO Education WeDo Construction Set (2 tk), LEGO Education WeDo Resource set (2 tk), LE Replacement Pack WeDo 1 (2 tk), LE Replacement Pack WeDo 2 (2 tk), LEGO Education WeDo 2.0 Core Set (8 tk), LEGO Education WeDo 2.0 Curriculum Pack (1 tk), LEGO Education Replacement Pack WeDo 2.0 (2 tk). Line Follower Sensor for NXT or EV3 (1 tk), NXT Compass Sensor  (1 tk), NXT Gyro Sensor (1 tk). Sharp Infrapunaandur GP2D120/0A41S K (4-30 cm) (4 tk), IR Distance Sensor GP2Y0A21 (4 tk), Pololu Infrapunaandur QTR-8A (analoog) (4 tk), HC-SR04 Ultraheliandur (5 tk), OffRobot Kooder rattale (8 tk), Pololu Magnetkooder mootorreduktorile (paar) (4 tk), Arduino Leonardo (5 tk), Arduino Micro (2 tk), Dagu Liikuv robotplatvorm 2WD-K4 (1 tk), Dagu Liikuv robotplatvorm 2WD-HC1 (1 tk), Arduino laiendusplaat Bluetooth 4.0 (1 tk), Dagu Mootorreduktor TT (2 tk), Pololu Mootorreduktor 630 RPM (pikendatud võll) (4 tk), Pololu Mootorreduktor 1000 RPM (4 tk), Pololu Mootorreduktor 250 RPM (2 tk), Arduino Wifi laiendusplaat (1 tk), Arduino samm-mootori laiendusplaat (1 tk), Arduino Mega ADK (2 tk), Pololu Samm-mootori draiver DRV 8834 (2 tk), Pololu Mootori draiver DRV8835 (4 tk), Mootori draiver L298N baasil (5 tk), Kompassimoodul GY-273 3-5V IIC (4 tk), Mootori draiver A4988 2A, radikas (4 tk), Mootori draiver A4988 2A, radikas (4 tk), Impulsiloenduri ketas kinnised ja lahtised otsad (8 tk), Arduino 14.5mm piikriba 8 piiki 1tk (15 tk), Arduino 14.5mm piikriba 6 piiki 1tk (8 tk), Maketeerimislaua juhtmed 40tk isa-isa (3 tk), Maketeerimislaua juhtmed 40tk isa-ema (3 tk), Maketeerimislaud mini 170 auku (10 tk), Maketeerimislaua ühendustraatide komplekt 350tk (1 tk), Infrapuna vastuvõtumoodul Arduinole, pult, juhtmed, LED (2 tk), Makettplaat 100*200mm 3-sed saared (5 tk), LED3 punane, roheline, sinine (150 tk), LED5 punane, roheline, sinine vilkuvad (90 tk), Bluetooth serial port moodul AC-BT-V4 (2 tk), Hitechnic kompass (1 tk), Hitechnic güro (1 tk). LEGO Education Mindstorms EV3 põhikomp.koos tarkvaraga (7 tk); LEGO Education akulaadija 10V (7 tk); LEGO Education WeDo 2.0 põhikompl. (2 tk); mBot V1.1 STEM robot (Bluetooth) (12 tk); Sphero SPRK+ haridusrobot (8 tk); Airblock modulaarne programmeeritav droon (1 tk); SPIKE Prime baas- ja lisakomplekt (5tk); Blue-Bot 2.0 (4tk); Sphero Bolt (2tk); LEGO Education WeDo 2.0 (1tk)	2,124.92 €	3,987.00 €			3,457.94 €		2,102.97 €	
569	Kuusalu Keskkool	Harju maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplektid (9 tk), lisakomplektid (9 tk), akulaadijad (3 tk), bluetooth adapter (1 tk). LEGO Mindstorms EV3 baaskomplekt (1 tk), LME, EV3, Large Servo Motor (2 tk), LME, EV3, Medium Servo Motor (5 tk), LME, EV3, Touch Sensor (4 tk), LME, EV3, Infrared Beacon (1 tk), LME, EV3, Infrared Seeker (7 tk), Transformer 10V DC (1 tk), LME, NXT, Temperature Sensor (5 tk). Original Prusa i3 kit with LCD 1.75mm (1 tk). Robootika Kodulabori baaskomplekt III (1 tk), Robootika Kodulabori lisakomplekt III (1 tk), Arduino baaskomplekt (2 tk). Sumo plats; Linna läbimine; LEGO Education EV3 kaablid; Me joonejälgimise moodul (2 tk); RJ25 20cm kaablite komplekt (4 tk); XY telje joonistaja robot V2; XY telje joonistaja laseriga; graveerimise lisakomplekt; 3D-printer Ultimaker Original+ KIT (1 tk); 3D-printer Ultimaker 3 (1 tk); PLA filament Ultimaker 3D-printerile, NFC (3 tk); Value PLA 1.75mm 1 kg Punane (1 tk); Ninjaflex 1.75mm 0.5kg Punane (1 tk)	2,471.53 €	2,026.92 €			3,750.00 €			
453	Lasnamäe Vene Gümnaasium	Harju maakond	gümnaasium	Arduino starter komplektid (15 tk). LEGO Mindstorms EV3 baaskomplekt (2 tk), EV3 lisakomplekt (2 tk), Transformer 10V DC (2 tk). Infrapunaandur QTR-8RC (2 tk), PIR anduri moodul HC-SR501 (2 tk), 3-Axis Digital Compass IC HMC5883L (2 tk), Joonejälgimise moodul (2 tk), Arduino Esplora (1 tk), Mini sumo platfrom Zumo (2 tk), Arduino graafiline LCD laiendusplaat (1 tk)	799.00 €	821.05 €						
523	Leisi Kool	Saare maakond	gümnaasium	ClassVR Premium klassikomplekt koos litsentsiga								3,445.20 €
402	Lihula Gümnaasium	Pärnu maakond	gümnaasium	Pneumatics Add-On Set (4 tk), Activity Pack for 9641 (1 tk), LEGO Mindstorms EV3 baaskomplekt (6 tk), Transformer 10V DC (6 tk), LME, EV3, Design Engineering Projects (1 tk)		1,715.21 €						
643	Loo Keskkool	Harju maakond	gümnaasium	LEGO MINSTORMS EV3 põhikomplekt, 11 tk; Akulaadija, 11 tk; EV3 lisakomplekt, 11 tk			3,202.73 €					
207	Luunja Keskkool	Tartu maakond	gümnaasium	LEGO Mindstorm EV3 baaskomplektid (6 tk), laadijad (7 tk), LEGO WeDo baaskomplektid (4 tk), NXT temperatuuriandur (2 tk), NXT värviandur (2 tk), NXT aku (2 tk); LEGO WeDo 2.0 baaskomplekti (9tk), LEGO WeDo 2.0 aku, laadija, mootor (12tk), LEGO Spike Prime baaskomplekti (12tk)	1,799.23 €							4,680.27 €
372	Lähte Ühisgümnaasium	Tartu maakond	gümnaasium	Ozobot Bit stardikomplekt (6 tk); LEGO Mindstorms Education EV3 põhikomplekt (10 tk); Makeblock mCreate 3D printer-graveerija (1tk), 3D skänner Einscan SE 3D (1tk), Codey Rocky robot (6tk), LEGO Eucation WeDo 2.0 põhikomplekt + akud ja laadijad (10tk), BBC micro:bit Go-stardikomplekt (20tk), BBC micro:bit Kitronik prototüüpimise komplekt (20tk), Makey Makey Classic (5tk)					3,275.90 €			4,928.35 €
3551	Läänemaa Ühisgümnaasium	Lääne maakond	gümnaasium	LEGO NXT baaskomplekt (7 tk), Bluetooth USB adapter (1 tk), laadijad (7 tk), NXT kaamera (1 tk), NXT joonejälgija (1 tk)	1,424.28 €							
368	Maardu Gümnaasium	Harju maakond	gümnaasium	Bee-Bot 2.0 6 robotit+laadimisalus (2tk); Ozobot Bit 2.0 stardikomplekt sinine (15tk); Ozobot Bit 2.0 stardikomplekt kristallvalge (15tk); Blue-Bot 2.0 6 robotit+laadimisalus (2tk); LEGO Education WeDo 2.0 põhikomplekt (2tk)						3,591.08 €		
